270
t_index tf-idf
81 0.04861479386016826
92 0.033502834127960686
110 0.02811197170735093
296 0.031460731643205
352 0.06097231199265111
398 0.021265856292716972
408 0.02889372292415884
448 0.03434856056484582
460 0.04029189106854603
479 0.04233399355330172
485 0.05831848769176362
588 0.027381241703960366
611 0.03129229908223096
696 0.02022319196057276
742 0.046653627085354296
748 0.02504819937501071
818 0.03264392788325648
819 0.04147198723821149
920 0.04483332500158971
1010 0.03625966092191999
1055 0.026367434653633247
1059 0.025241317163059065
1096 0.014804397968796457
1121 0.04965833241602765
1139 0.0706235542122721
1338 0.01632196394162824
1388 0.046653627085354296
1520 0.025144342061750195
1668 0.05377705375871996
1694 0.034378484692716794
1701 0.02189803025650188
1708 0.044286848121762305
1735 0.021612650379775375
1747 0.02714788838370548
1853 0.05778744584831768
1900 0.0287595829468327
1917 0.07649957716758071
1928 0.06036059017651931
1953 0.0370696924141249
1985 0.019269377309875053
2146 0.0493635492789727
2195 0.06608212027922843
2273 0.04233399355330172
2291 0.038249788583790356
2388 0.07661215287723472
2437 0.026260251498544718
2467 0.035263399780883706
2535 0.14794816654027187
2541 0.07358624293529314
2551 0.05659191464227077
2571 0.032926821279256266
2582 0.019617609116495564
2659 0.026260251498544718
2663 0.03370835465074668
2772 0.0406716072366798
2837 0.032907974649214994
2858 0.046653627085354296
2917 0.06036059017651931
2927 0.06840172910240708
2981 0.06097231199265111
3055 0.01762473991643181
3118 0.06608212027922843
3208 0.0379429048874618
3260 0.06036059017651931
3269 0.05055485510429882
3338 0.03764420573971315
3346 0.0706235542122721
3522 0.02022319196057276
3559 0.05778744584831768
3561 0.05055485510429882
3590 0.12571984324961458
3631 0.02915316446482401
3634 0.029306059826660104
3635 0.0365232155342975
3703 0.06285992162480729
3705 0.05659191464227077
3708 0.04540783832717796
3721 0.04729510172190408
3818 0.05509628903734249
3830 0.02862703046213671
3948 0.08466798710660343
4027 0.020285590752784896
4121 0.02594472206328188
4130 0.04805552365601084
4207 0.01915566512269653
4241 0.010391559641593768
4276 0.042791222516834024
4311 0.030486155996325554
4380 0.032716507521288
4416 0.019558813421203344
4439 0.03153006781460272
4511 0.031126361910424696
4553 0.01818108947581708
4562 0.02973415859371215
4571 0.05659191464227077
4585 0.5788978972605842
4614 0.0706235542122721
4649 0.0706235542122721
4761 0.046013421171255155
4779 0.025241317163059065
4808 0.04540783832717796
4811 0.038249788583790356
4828 0.030179272299997
4856 0.06435753687113926
4886 0.06285992162480729
4902 0.046653627085354296
4913 0.02714788838370548
4916 0.046653627085354296
4992 0.046013421171255155
5270 0.01402652632899345
5295 0.06608212027922843
5340 0.0706235542122721
5413 0.04233399355330172
5427 0.06036059017651931
5442 0.01777375170494677
5524 0.024764625893616436
5590 0.06285992162480729
5626 0.0406716072366798
5645 0.0706235542122721
5664 0.046653627085354296
5716 0.04540783832717796
5732 0.03479664248480465
5755 0.06036059017651931
5774 0.04540783832717796
5798 0.06608212027922843
5845 0.09330725417070859
5870 0.04376579816371347
5874 0.0180778578304655
5887 0.04952925178723287
5913 0.04733265644987769
5938 0.046653627085354296
5971 0.05659191464227077
6032 0.03180539127494809
6033 0.038249788583790356
6103 0.026584927977381025
6121 0.02504819937501071
6178 0.046653627085354296
6196 0.026695279158012734
6249 0.023782274783576255
6342 0.022879177070617755
6530 0.04326791378627665
6578 0.01932666927230159
6590 0.016770045861587066
6591 0.13449997500476912
6636 0.03002892703279325
6685 0.0392243642306698
6702 0.04733265644987769
6704 0.02889372292415884
6733 0.018233064298702407
6738 0.06608212027922843
6855 0.0706235542122721
6908 0.014766105438393788
6916 0.04882828205480597
6957 0.01915566512269653
7002 0.025872501285101192
7057 0.05377705375871996
7117 0.06608212027922843
7137 0.03153006781460272
7305 0.05659191464227077
7359 0.03911762684240669
7505 0.03731556149051943
7507 0.025739201540495884
7523 0.1103793644029397
7603 0.036886819054483516
7850 0.022800576367469027
7854 0.022502993522728776
7912 0.0706235542122721
8021 0.0706235542122721
8106 0.024041758687483292
8107 0.012335795083631928
8179 0.01385255662121122
8219 0.06036059017651931
8322 0.0205387213958356
8431 0.042791222516834024
8442 0.05659191464227077
8503 0.019558813421203344
8506 0.03992462687971947
8587 0.06285992162480729
8621 0.02714788838370548
8660 0.09648298287676402
8664 0.24199252676085845
8716 0.032528258481081235
8798 0.031126361910424696
8812 0.05831848769176362
8848 0.05257946643206986
8864 0.06608212027922843
8872 0.042791222516834024
8881 0.027499767193418904
8944 0.09081567665435591
8948 0.06837139306397678
9022 0.007773866077654276
9045 0.03992462687971947
9099 0.0784487284613396
9160 0.023868103205345263
9231 0.03983261652848842
9282 0.029880573152248357
9328 0.030486155996325554
9375 0.052596957589054506
9414 0.06285992162480729
9420 0.05509628903734249
9452 0.026260251498544718
9462 0.04882828205480597
9475 0.046653627085354296
9542 0.1197738806391584
9640 0.03370835465074668
9717 0.0575191658936654
9783 0.05509628903734249
10048 0.01818108947581708
10060 0.04965833241602765
10116 0.02278393838343035
10219 0.06036059017651931
10223 0.027033009897339855
10228 0.04540783832717796
10234 0.03129229908223096
10288 0.05509628903734249
10378 0.023362729322959894
10380 0.023612566169711833
10391 0.0392243642306698
10444 0.022958333260375233
10633 0.027740648611347053
10654 0.019795871036795674
10663 0.06285992162480729
10839 0.05055485510429882
10962 0.03479664248480465
10969 0.025339139219204682
10991 0.06608212027922843
10993 0.03457036096583692
11032 0.024764625893616436
11060 0.031460731643205
11115 0.04540783832717796
11150 0.06608212027922843
11213 0.022415639712532198
11406 0.08966665000317942
11506 0.033502834127960686
11507 0.04692105337660374
11574 0.04882828205480597
11579 0.06036059017651931
11584 0.04733265644987769
11638 0.052596957589054506
11721 0.0365232155342975
11779 0.05127567673390666
11865 0.042125639076963234
11869 0.048794723409579736
11969 0.009284127192613754
12039 0.03636217895163416
12043 0.021062819538481617
12069 0.0379429048874618
12122 0.044286848121762305
12182 0.02889372292415884
12429 0.06036059017651931
12435 0.06285992162480729
12453 0.0706235542122721
12477 0.03163173579281006
12608 0.006663606709323456
