t_index term df
396 alqaeda 1
397 alqaida 3
398 alreadi 164
399 alribat 1
400 alshahrani 3
401 alsharia 1
402 alsharjani 1
403 alsharq 1
404 alshueib 1
405 also 477
406 alter 8
407 altern 20
408 although 83
409 altitud 1
410 altogeth 4
411 aluminum 2
412 alun 6
413 alwadi 1
414 alway 93
415 alzawahri 2
416 alzindani 1
417 amad 3
418 amanda 17
419 amarillo 2
420 amartej 3
421 amaru 4
422 amass 4
423 amateur 2
424 amaz 10
425 amazingli 1
426 ambassador 47
427 ambersag 1
428 ambigu 1
429 ambit 8
430 ambiti 2
431 ambival 2
432 ambul 11
433 ambush 1
434 ameli 6
435 amend 2
436 amerasian 1
437 america 128
438 american 341
439 americanislam 1
440 americanl 1
441 americanstatesman 1
442 americanyemeni 1
443 americorp 1
444 amh 1
445 ami 2
446 amiabl 2
447 amic 1
448 amid 51
449 amidship 2
450 amin 1
451 amit 1
452 amman 2
453 ammo 1
454 ammonium 1
455 ammunit 22
456 amnesia 2
457 amnesti 2
458 among 182
459 amongst 2
460 amount 30
461 amp 5
462 amphibi 3
463 ampl 2
464 ampli 1
465 amplifi 1
466 amput 12
467 ana 7
468 anacostia 1
469 analges 1
470 analog 1
471 analysi 9
472 analyst 38
473 analyz 5
474 anarch 2
475 anathema 1
476 anatoli 8
477 anca 4
478 ancestor 3
479 ancestr 25
480 ancestri 1
481 anchor 8
482 anchorag 2
483 anchorman 3
484 ancient 4
485 andean 6
486 anderson 4
487 andi 5
488 andjelkov 1
489 andoslavia 1
490 andov 1
491 andr 48
492 andrea 14
493 andrei 2
494 andrew 15
495 andrik 1
496 anew 7
497 angel 13
498 anger 46
499 angl 12
500 anglican 1
501 angri 27
502 angrili 4
503 anguish 8
504 anim 2
505 animist 2
506 animos 11
507 anjana 1
508 anjar 6
509 anjay 1
510 ank 2
511 ankl 8
512 ankledeep 1
513 ann 11
514 anna 21
515 annabel 1
516 annacon 1
517 annan 13
518 anniversari 15
519 announc 164
520 annoy 2
521 annual 18
522 annul 11
523 anomali 1
524 anonym 63
525 anoth 263
526 answer 48
527 antagon 1
528 antasiaovich 1
529 antenna 2
530 anthem 6
531 anthoni 27
532 anthropologist 2
533 anti 1
534 antiaircraft 2
535 antiamerican 16
536 antiballist 2
537 antibiot 5
538 antibush 1
539 anticastro 1
540 anticip 17
541 anticlimact 1
542 anticommunist 2
543 anticorrupt 2
544 antidiarrhea 1
545 antifbi 2
546 antiislam 3
547 antiisrael 2
548 antimilitari 1
549 antimilosev 20
550 antimissil 1
551 antinorthern 1
552 antiradar 1
553 antiship 2
554 antisoviet 1
555 antisubmarin 1
556 antiterror 6
557 antiterrorist 8
558 antiu 9
559 antiwar 8
560 antiwestern 5
561 antonia 6
562 antonin 1
563 antonio 26
564 anwar 4
565 anxieti 3
566 anxiou 11
567 anxious 2
568 anybodi 14
569 anymor 9
570 anyon 58
571 anyth 94
572 anytim 4
573 anyway 13
574 anywher 18
575 aok 1
576 aon 1
577 ap 20
578 apart 68
579 ape 1
580 apec 4
581 apex 1
582 apolit 1
583 apolog 18
584 appal 1
585 appallingli 1
586 appar 193
587 apparatu 7
588 appeal 95
589 appear 196
590 appel 1
591 appetit 2
592 appl 3
593 applaud 10
594 applaus 8
595 applepick 1
596 appleton 2
597 appli 18
598 applic 16
599 appoint 65
600 appointe 3
601 apprais 2
602 appreci 16
603 apprehend 4
604 apprehens 2
605 apprentic 3
606 appris 1
607 approach 49
608 appropri 18
609 approv 25
610 approxim 12
611 april 67
612 aprista 4
613 apron 1
614 aquil 2
615 ar 3
616 arab 61
617 arabamerican 2
618 arabi 1
619 arabia 71
620 arabian 44
621 arabianborn 1
622 arablanguag 3
623 arablook 1
624 arabspeak 1
625 arafat 16
626 arantxa 3
627 arazi 7
628 arbadi 1
629 arbit 1
630 arbitrari 2
631 arbitrarili 1
632 arc 1
633 arch 2
634 archaeolog 2
635 archbishop 4
636 archer 1
637 archeri 4
638 archetyp 1
639 archi 5
640 archibald 1
641 architect 7
642 architectur 4
643 arctic 6
644 ardent 4
645 arduou 1
646 are 2
647 area 184
648 arena 22
649 aretz 1
650 argentin 1
651 argentina 10
652 argu 45
653 arguabl 2
654 argument 18
655 ari 1
656 arid 5
657 arif 1
658 arisen 1
659 arithmet 1
660 aritomi 4
661 ariz 6
662 arizona 7
663 ark 8
664 arkadelphia 1
665 arkan 1
666 arkansa 28
667 arkansasbas 1
668 arkin 2
669 arleigh 2
670 arleighburkeclass 1
671 arlen 2
672 arlington 8
673 arm 132
674 armament 2
675 armbrist 1
676 armenia 2
677 armey 1
678 armi 136
679 armitag 1
680 armor 17
681 armori 3
682 arn 3
683 arnaud 17
684 arni 1
685 arno 1
686 arnold 3
687 arnot 1
688 aros 5
689 around 190
690 arous 1
691 arraign 2
692 arrang 38
693 array 5
694 arrear 1
695 arrest 109
696 arriv 180
697 arrog 3
698 arrow 4
699 arsen 10
700 arseni 1
701 arsonist 1
702 art 9
703 arthriti 1
704 arthur 4
705 articl 5
706 articul 1
707 artifact 1
708 artifici 4
709 artist 4
710 artudo 1
711 arturo 6
712 aruba 2
713 aryapov 1
714 asa 1
715 asahi 1
716 ascend 1
717 ascrib 4
718 asean 1
719 ash 4
720 asham 1
721 ashcroft 56
722 ashkroft 1
723 ashok 1
724 ashor 2
725 ashraf 1
726 ashshaab 1
727 ashtray 1
728 asia 22
729 asian 15
730 asiapacif 16
731 asid 30
732 ask 196
733 aspect 11
734 aspir 2
735 assad 1
736 assail 4
737 assam 6
738 assassin 21
739 assault 28
740 assembl 18
741 assemblyforexport 1
742 assert 17
743 assess 48
744 asset 10
745 assign 24
746 assist 76
747 assistedsuicid 1
748 associ 117
749 associateturnedinform 3
750 assort 1
751 assum 38
752 assumpt 7
753 assur 35
754 assuredli 2
755 astakhov 12
756 asterisk 2
757 astonish 7
758 astound 2
759 astronom 1
760 astut 1
761 asylum 29
762 asymmetr 2
763 atal 13
764 atck 2
765 ate 4
766 atf 2
767 atfein 1
768 ath 1
769 athal 1
770 athlet 3
771 atlant 15
772 atlanta 6
773 atmat 1
774 atmospher 10
775 atom 4
776 atop 13
777 atp 3
778 atroc 10
779 atrophi 1
780 atsea 3
781 attach 15
782 attack 306
783 attain 1
784 attempt 112
785 attend 68
786 attent 64
787 attest 2
788 attitud 10
789 attorney 58
790 attract 15
791 attribut 12
792 attrit 1
793 atwan 1
794 aubrey 19
795 aubri 5
796 audienc 16
797 audio 4
798 audiotap 1
799 auditor 5
800 auditorium 1
801 aug 33
802 augment 1
803 august 32
804 aunt 2
805 aur 5
806 aura 1
807 aurora 4
808 ausi 1
809 aussi 9
810 auster 2
811 austin 18
812 australia 23
813 australian 72
814 austria 3
815 austrian 1
816 austrohungarian 1
817 authent 2
818 author 255
819 authoritarian 27
820 auto 1
821 autocrat 27
822 autograph 1
823 autom 1
824 automat 18
825 automobil 4
826 autonom 1
827 autonomi 3
828 autopilot 1
829 autopsi 1
830 autumn 2
831 avail 44
832 avala 1
833 avalanch 1
834 ave 1
835 aveng 7
836 avent 1
837 avenu 4
838 averag 14
839 avert 6
840 aviat 3
841 aviv 4
842 avner 2
843 avoid 59
844 avow 1
845 aw 10
846 awad 2
847 await 26
848 awaken 2
849 awar 18
850 award 9
851 away 166
852 awe 3
853 aweigh 1
854 awestruck 1
855 awkward 4
856 awn 4
857 awok 1
858 axam 1
859 axe 1
860 ay 2
861 ayatollah 1
862 aykroyd 1
863 ayman 5
864 aynaoui 1
865 ayr 1
866 ayyam 1
867 az 1
868 aziz 1
869 azul 1
870 azulay 2
871 b 17
872 ba 2
873 babenko 2
874 babi 14
875 babkin 6
876 baboa 1
877 back 358
878 backa 1
879 backandforth 1
880 backbo 1
881 backcourt 1
882 backdrop 4
883 backer 14
884 backfir 5
885 background 4
886 backhand 14
887 backho 1
888 backlash 3
889 backstop 2
890 backtoback 5
891 backup 2
892 backward 3
893 backyard 1
894 bacon 18
895 bad 39
896 badg 3
897 badli 39
898 badrasen 5
899 baffl 2
900 bag 14
901 bagad 1
902 baggag 1
903 baghbel 1
904 baghdad 2
905 bahgbo 5
906 bahrain 34
907 bahrainbas 3
908 bai 1
909 baijubahi 2
910 bail 4
911 bailey 6
912 baird 1
913 bairnt 1
914 bakarec 3
915 bake 2
916 baken 1
917 baker 5
918 bakhshish 1
919 bakri 5
920 balanc 20
921 balawat 1
922 balcacer 2
923 balconi 11
924 bald 1
925 balintkurti 1
926 balk 4
927 balkan 25
928 ball 29
929 ballard 1
930 ballast 2
931 ballena 1
932 ballist 1
